country,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.637,1.47,3.68,6.54,7.56,9.66,9.91,10.4,9.51,11.6,13.4,13.1,10,11.3,10.2,8.03,5.91,4.59,5.45,13.5,16.7,12.3,10,8.63,7.35,6.19,6.76,5.76
Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.71,,,,,,2.5,,,,,,,,2.25,,,,
Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.06,,,,,,,,,5.93,5.35,5.88,5.7,5.4,,,,,,,,8.22,4.7,3.89,,,8.94,8.72,8.91,4.41,9,,6.17,,4.32,
Finland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.07,6.5,11.6,16.2,16.4,17,15.6,15,13.2,11.7,11.1,10.3,10.4,10.5,10.4,8.38,7.72,6.85,6.37,8.25,8.39,7.78,7.69,8.19,8.66,9.38,8.82,8.64
France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.92,9.53,10.3,10.2,10.7,10.2,9.62,9.36,9.13,10.2,11.3,12.6,11.8,12.4,12.6,12.1,12,10.2,8.61,8.7,8.31,8.91,8.49,8.45,7.66,7.06,8.74,8.87,8.81,9.4,9.92,10.3,10.4,10.1,9.4
Gabon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.4,,,,,,,
Gambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.42,,,,,
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.9
Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.45,6.67,6.87,6.61,6.82,6.32,5.71,4.89,5.32,6.32,7.68,8.73,8.16,8.82,9.86,9.79,8.86,7.92,7.77,8.48,9.78,10.7,11.2,10.3,8.66,7.52,7.74,6.97,5.82,5.38,5.23,4.98,4.62,4.12,3.75
Ghana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.81,,
Greece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.81,8.1,7.8,7.36,7.36,7.65,7.46,7.02,7.66,7.84,8.61,8.86,9.06,9.66,9.58,10.8,11.9,11.2,10.5,9.97,9.41,10.3,9.99,9.01,8.4,7.76,9.62,12.7,17.9,24.4,27.5,26.5,24.9,23.5,21.5
Grenada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.9,,16.9,,15.2,,,,,,,,,,,,,,,24.2,24.5,22.9,,
Guatemala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.15,2.27,,,,,2.4,,1.94,,,,,,,,,,,,,,2.81,2.97,,,,,,3.5,4.13,2.76,3.02,2.72,2.51,2.83,
Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.55,,,,,,,,,,,,,,,
Guyana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.1,,,,,,,,,,,,,,,,,,,10.7,,,,,,,,,,,
Haiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.8,,,,,,,,,,
Honduras,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1,,,,,,,,7.3,,,,12.1,11.4,,,4.78,4.58,3.06,,,3.24,4.37,3.32,4.02,3.85,,4,4.02,5.3,5.99,4.91,3.57,3.21,3.16,3.29,4.12,4.47,3.75,4.1,5.49,4.59,4.67,4.05
Hungary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.94,12.1,10.8,10.2,10,8.99,8.93,6.93,6.56,5.67,5.61,5.79,5.83,7.19,7.49,7.41,7.82,10,11.2,11,11,10.2,7.73,6.81,5.11,4.16
Iceland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.55,4.3,5.26,5.33,5.2,3.6,3.72,3.07,2.18,1.94,1.87,2.99,4,4.03,2.55,2.83,2.25,2.95,7.22,7.56,7.03,6,5.38,4.9,3.98,2.98,2.74
India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.59,,,,,,2.73,,,,,3.1,,,,,2.44,,2.69,,,,,
Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.92,1.29,2.48,,1.66,,2.85,,,2.1,2.59,2.55,2.74,,2.51,2.54,2.67,,,,4.37,4.68,5.46,6.3,6.08,6.08,6.6,6.66,7.3,7.94,7.55,8.06,7.21,6.11,5.61,5.15,4.47,4.34,4.05,4.51,4.3,4.18
Iran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.8,,10.3,12.1,11.2,10.6,10.5,12,13.5,12.4,12.6,10.4,10.6,11.1,12.4,12.1
Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.65,,,,,7.96,,,,,
Ireland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.8,16.4,17.9,18,18.1,17.4,16.1,14.1,15.8,15,15.6,14.6,12,11.7,10.2,7.7,5.8,4.32,3.68,4.22,4.48,4.49,4.34,4.41,4.98,6.77,12.6,14.5,15.4,15.5,13.7,11.9,9.9,8.37,6.71
